,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
109,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2
110,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6
111,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Final,2012-10-12,/api/v1/category_rounds/2147/results,/api/v1/events/743/result/6
112,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Qualification,2012-10-20,/api/v1/category_rounds/2158/results,/api/v1/events/744/result/1
113,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Semi-Final,2012-10-20,/api/v1/category_rounds/2159/results,/api/v1/events/744/result/1
114,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Final,2012-10-20,/api/v1/category_rounds/2160/results,/api/v1/events/744/result/1
115,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Women,Qualification,2012-10-20,/api/v1/category_rounds/2153/results,/api/v1/events/744/result/5
116,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Women,Semi-Final,2012-10-20,/api/v1/category_rounds/2154/results,/api/v1/events/744/result/5
117,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Women,Final,2012-10-20,/api/v1/category_rounds/2155/results,/api/v1/events/744/result/5
118,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Speed,Men,Qualification,2012-10-20,/api/v1/category_rounds/2161/results,/api/v1/events/744/result/2
119,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Speed,Men,Final,2012-10-20,/api/v1/category_rounds/2162/results,/api/v1/events/744/result/2
120,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Speed,Women,Qualification,2012-10-20,/api/v1/category_rounds/2156/results,/api/v1/events/744/result/6
121,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Speed,Women,Final,2012-10-20,/api/v1/category_rounds/2157/results,/api/v1/events/744/result/6
122,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,745,2012,Inzai,Lead,Men,Qualification,2012-10-27,/api/v1/category_rounds/2166/results,/api/v1/events/745/result/1
123,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,745,2012,Inzai,Lead,Men,Semi-Final,2012-10-27,/api/v1/category_rounds/2167/results,/api/v1/events/745/result/1
124,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,745,2012,Inzai,Lead,Men,Final,2012-10-27,/api/v1/category_rounds/2168/results,/api/v1/events/745/result/1
125,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,745,2012,Inzai,Lead,Women,Qualification,2012-10-27,/api/v1/category_rounds/2163/results,/api/v1/events/745/result/5
126,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,745,2012,Inzai,Lead,Women,Semi-Final,2012-10-27,/api/v1/category_rounds/2164/results,/api/v1/events/745/result/5
127,IFSC Climbing Worldcup (L) - Inzai (JPN) 2012,745,2012,Inzai,Lead,Women,Final,2012-10-27,/api/v1/category_rounds/2165/results,/api/v1/events/745/result/5
128,IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,746,2012,Kranj,Lead,Men,Qualification,2012-11-17,/api/v1/category_rounds/2172/results,/api/v1/events/746/result/1
129,IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,746,2012,Kranj,Lead,Men,Semi-Final,2012-11-17,/api/v1/category_rounds/2173/results,/api/v1/events/746/result/1
130,IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,746,2012,Kranj,Lead,Men,Final,2012-11-17,/api/v1/category_rounds/2174/results,/api/v1/events/746/result/1
131,IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,746,2012,Kranj,Lead,Women,Qualification,2012-11-17,/api/v1/category_rounds/2169/results,/api/v1/events/746/result/5
132,IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,746,2012,Kranj,Lead,Women,Semi-Final,2012-11-17,/api/v1/category_rounds/2170/results,/api/v1/events/746/result/5
133,IFSC Climbing Worldcup (L) - Kranj (SLO) 2012,746,2012,Kranj,Lead,Women,Final,2012-11-17,/api/v1/category_rounds/2171/results,/api/v1/events/746/result/5
