name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
NICELLI Savina,1494.8454116424878,2,-2.58,1.36,47.5,1494.85,1498.38
Pfister Clotilde,1494.7594390300344,1,-5.24,,43.0,1494.76,1494.76
BONNAL Lana,1494.7252589964753,2,-2.64,2.39,42.0,1494.73,1495.67
Wilda Baco Achmad,1494.6967435271777,6,-0.88,5.02,21.17,1483.69,1496.76
Darabian Mahya,1494.586700443724,1,-5.41,,50.0,1494.59,1494.59
WATILLON Lucie,1494.5769655596303,1,-5.42,,40.0,1494.58,1494.58
Saurwein Franziska,1494.5257191859184,1,-5.47,,29.0,1494.53,1494.53
Looser Noé,1494.4161066622212,3,-1.86,2.41,52.33,1493.59,1496.16
KHALISHAH Nur,1494.3852731688276,1,-5.61,,36.0,1494.39,1494.39
FRANGOS Rebecca,1494.28846315089,3,-1.9,5.08,39.67,1493.21,1496.55
Casas Mur Rut,1494.2857154584924,1,-5.71,,54.0,1494.29,1494.29
