Unnamed: 0,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
31,UIAA Worldcup (S) - Daone (ITA) 2005,398,2005,Daone,Speed,Women,,2005-07-29,,/api/v1/events/398/result/6
32,UIAA Worldcup (L) - Marbella (ESP) 2005,399,2005,Marbella,Lead,Men,,2005-09-16,,/api/v1/events/399/result/1
33,UIAA Worldcup (L) - Marbella (ESP) 2005,399,2005,Marbella,Lead,Women,,2005-09-16,,/api/v1/events/399/result/5
34,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Men,,2005-09-29,,/api/v1/events/400/result/3
35,UIAA Worldcup (B) - Firminy (FRA) 2005,400,2005,Firminy,Boulder,Women,,2005-09-29,,/api/v1/events/400/result/7
36,UIAA Worldcup (L+S) - Shanghai (CHN) 2005,401,2005,Shanghai,Lead,Men,,2005-10-21,,/api/v1/events/401/result/1
37,UIAA Worldcup (L+S) - Shanghai (CHN) 2005,401,2005,Shanghai,Lead,Women,,2005-10-21,,/api/v1/events/401/result/5
38,UIAA Worldcup (L+S) - Shanghai (CHN) 2005,401,2005,Shanghai,Speed,Men,,2005-10-21,,/api/v1/events/401/result/2
39,UIAA Worldcup (L+S) - Shanghai (CHN) 2005,401,2005,Shanghai,Speed,Women,,2005-10-21,,/api/v1/events/401/result/6
40,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Men,,2005-10-27,,/api/v1/events/402/result/1
41,UIAA Worldcup (L) - Valence (FRA) 2005,402,2005,Valence,Lead,Women,,2005-10-27,,/api/v1/events/402/result/5
42,UIAA Worldcup (L) - Kranj (SLO) 2005,403,2005,Kranj,Lead,Men,,2005-11-18,,/api/v1/events/403/result/1
43,UIAA Worldcup (L) - Kranj (SLO) 2005,403,2005,Kranj,Lead,Women,,2005-11-18,,/api/v1/events/403/result/5
0,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018 ,1047,2018,Meiringen,Boulder,Men,Qualification,2018-04-13,/api/v1/category_rounds/4919/results,/api/v1/events/1047/result/3
1,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018 ,1047,2018,Meiringen,Boulder,Men,Semi-Final,2018-04-13,/api/v1/category_rounds/4920/results,/api/v1/events/1047/result/3
2,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018 ,1047,2018,Meiringen,Boulder,Men,Final,2018-04-13,/api/v1/category_rounds/4921/results,/api/v1/events/1047/result/3
3,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018 ,1047,2018,Meiringen,Boulder,Women,Qualification,2018-04-13,/api/v1/category_rounds/4916/results,/api/v1/events/1047/result/7
4,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018 ,1047,2018,Meiringen,Boulder,Women,Semi-Final,2018-04-13,/api/v1/category_rounds/4917/results,/api/v1/events/1047/result/7
5,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018 ,1047,2018,Meiringen,Boulder,Women,Final,2018-04-13,/api/v1/category_rounds/4918/results,/api/v1/events/1047/result/7
6,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018 ",1048,2018,Moscow,Boulder,Men,Qualification,2018-04-21,/api/v1/category_rounds/4927/results,/api/v1/events/1048/result/3
7,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018 ",1048,2018,Moscow,Boulder,Men,Semi-Final,2018-04-21,/api/v1/category_rounds/4928/results,/api/v1/events/1048/result/3
8,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018 ",1048,2018,Moscow,Boulder,Men,Final,2018-04-21,/api/v1/category_rounds/4929/results,/api/v1/events/1048/result/3
9,"IFSC Climbing Worldcup (B,S) - Moscow (RUS) 2018 ",1048,2018,Moscow,Boulder,Women,Qualification,2018-04-21,/api/v1/category_rounds/4922/results,/api/v1/events/1048/result/7
